,0
873,184466557
874,136258874
875,115325820
876,134616128
877,169343783
878,131930226
879,918367
880,152308741
881,174660549
882,98451817
883,87168615
884,69151662
885,2433279
886,113680463
887,186914195
888,80981124
889,180898572
890,47739146
891,2051927
892,100174504
893,51172059
894,153281809
895,41417734
896,125201978
897,160604341
898,21333254
899,116661734
900,115544831
901,53329462
902,140313830
903,104832212
904,25479543
905,1150555
906,13768691
907,26049193
908,172919088
909,140952365
910,109509076
911,119640190
912,5663928
913,88229683
914,97659696
915,126465012
916,181005179
917,161392931
918,41324608
919,187395679
920,189299689
921,148638913
922,61167000
923,118123563
924,109061537
925,53746631
926,71205489
927,120061679
928,195941316
929,13841603
930,112910525
931,147234472
932,195657860
933,9960538
934,122084940
935,41297452
936,13042735
937,179553529
938,93730840
939,176471602
940,180656983
941,164808708
942,89976934
943,171515925
944,149549352
945,134879714
946,109413663
947,172709906
948,137480786
949,50102992
950,84877518
951,117528
952,142538733
953,114151558
954,82060433
955,94177435
956,175531606
957,126508284
958,175793897
959,182000303
960,62081144
961,127910279
962,92118794
963,122499255
964,183910882
965,183006550
966,180548730
967,64175328
968,168566564
969,170274328
970,192177729
971,130620179
972,36094505
973,121968520
974,60580274
975,180064140
976,12532222
977,62368728
978,43169354
979,104365369
980,45673267
981,149638057
982,100976425
983,107076896
984,17650348
985,189846910
986,137095984
987,3582415
988,190879351
989,128349152
990,192982365
991,22090191
992,5363332
993,121885563
994,18411851
995,58676728
996,120097425
997,39795943
998,92025979
999,26288734
